,disease
6575,Liver Cirrhosis
6576,"Liver Cirrhosis, Alcoholic"
6577,"Liver Cirrhosis, Experimental"
6578,Liver Diseases
6579,"Liver Diseases, Alcoholic"
6580,"Liver Diseases, Parasitic"
6581,Liver Dysfunction
6582,Liver Failure
6583,"Liver Failure, Acute"
6584,Liver Fibrosis
6585,Liver Injury
6586,Liver Neoplasms
6587,"Liver Neoplasms, Experimental"
6588,Liver Transplant Rejection
6589,Liver carcinoma
6590,Liver diseases
6591,Liver neoplasms
6592,Lobar Holoprosencephaly
6593,Lobar Pneumonia
6594,Lobstein Disease
6595,Localized Primitive Neuroectodermal Tumor
6596,Localized scleroderma
6597,Locked-In Syndrome
6598,Lockjaw
6599,Loeffler's Endocarditis
6600,Loeys-Dietz Aortic Aneurysm Syndrome
6601,Loeys-Dietz Syndrome
6602,"Loeys-Dietz Syndrome, Type 1a"
6603,Lofgren Syndrome
6604,Long QT Syndrome
6605,Long QT Syndrome 1
6606,Long QT syndrome type 3
6607,Long Qt Syndrome 10
6608,Long Qt Syndrome 11
6609,Long Qt Syndrome 12
6610,Long Qt Syndrome 2
6611,Long Qt Syndrome 6
6612,Long Sleeper Syndrome
6613,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
6614,Long chain acyl-CoA dehydrogenase deficiency
6615,Long palpebral fissure
6616,Long philtrum
6617,Longitudinal deficiency of radius
6618,Loose Anagen Hair Syndrome
6619,Low Back Pain
6620,"Low Back Pain, Mechanical"
6621,"Low Back Pain, Posterior Compartment"
6622,"Low Back Pain, Postural"
6623,Low Cardiac Output
6624,Low Cardiac Output Syndrome
6625,Low Grade Lymphoma (neoplasm)
6626,Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis
6627,Low Tension Glaucoma
6628,Low anorectal malformation
6629,Low phospholipid-associated cholelithiasis
6630,"Lower Extremity Deformities, Congenital"
6631,Lower Extremity Paresis
6632,Lower limb spasticity
6633,Lowry Wood syndrome
6634,Lubs X-linked mental retardation syndrome
6635,Lucey-Driscoll syndrome (disorder)
6636,Luft Disease
6637,Lujan Fryns syndrome
6638,Lumbar disc disease
6639,Lumbosacral agenesis
6640,Lung Disease
6641,"Lung Diseases, Interstitial"
6642,"Lung Diseases, Obstructive"
6643,Lung Fibrosis
6644,Lung Injury
6645,Lung Neoplasms
6646,Lung diseases
6647,Lupus Erythematosus
6648,"Lupus Erythematosus, Discoid"
6649,"Lupus Erythematosus, Systemic"
6650,Lupus Meningoencephalitis
6651,Lupus Nephritis
6652,"Lupus Vasculitis, Central Nervous System"
6653,Lupus Vulgaris
6654,"Luteinizing Hormone Resistance, Female"
6655,Lyme Disease
6656,Lymphadenopathy
6657,Lymphangioleiomyomatosis
6658,"Lymphangioma, Cystic"
6659,Lymphatic Abnormalities
6660,Lymphatic Metastasis
6661,Lymphedema
6662,Lymphedema distichiasis syndrome
6663,"Lymphedema, microcephaly and chorioretinopathy syndrome"
6664,Lymphedema-Distichiasis Syndrome with Renal Disease and Diabetes Mellitus
6665,Lymphocyte Rich Classical Hodgkin Lymphoma
6666,Lymphocytic Choriomeningitis
6667,"Lymphohistiocytosis, Hemophagocytic"
6668,Lymphoid leukemia
6669,Lymphoma
6670,"Lymphoma, AIDS-Related"
6671,"Lymphoma, B-Cell"
6672,"Lymphoma, Burkitt"
6673,"Lymphoma, Diffuse"
6674,"Lymphoma, Extranodal NK-T-Cell"
6675,"Lymphoma, Follicular"
6676,"Lymphoma, Follicular, Grade 1"
6677,"Lymphoma, Follicular, Grade 2"
6678,"Lymphoma, Follicular, Grade 3"
6679,"Lymphoma, Hodgkin"
6680,"Lymphoma, Intermediate-Grade"
6681,"Lymphoma, Large B-Cell"
6682,"Lymphoma, Large B-Cell, Diffuse"
6683,"Lymphoma, Large-Cell, Anaplastic"
6684,"Lymphoma, Large-Cell, Follicular"
6685,"Lymphoma, Lymphocytic, Intermediate"
6686,"Lymphoma, Mantle-Cell"
6687,"Lymphoma, Mixed-Cell"
6688,"Lymphoma, Mixed-Cell, Follicular"
6689,"Lymphoma, Non-Hodgkin"
6690,"Lymphoma, Non-Hodgkin, Familial"
6691,"Lymphoma, Primary Effusion"
6692,"Lymphoma, Small Cleaved-Cell, Follicular"
6693,"Lymphoma, Small Noncleaved-Cell"
6694,"Lymphoma, T-Cell"
6695,"Lymphoma, T-Cell, Cutaneous"
6696,"Lymphoma, Undifferentiated"
6697,Lymphomatoid Papulosis
6698,Lymphopenia
6699,Lymphoproliferative Disorders
6700,"Lymphoproliferative Syndrome, Ebv-Associated, Autosomal, 1"
6701,"Lymphoproliferative Syndrome, X-Linked, 2"
6702,Lynch Syndrome
6703,Lynch syndrome I (site-specific colonic cancer)
6704,Lysine Alpha-Ketoglutarate Reductase Deficiency Disease
6705,Lysinuric Protein Intolerance
6706,Lysosomal beta-mannosidase deficiency
6707,MACROCEPHALY AND EPILEPTIC ENCEPHALOPATHY
6708,"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT"
6709,"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION"
6710,"MACROCEPHALY, MACROSOMIA, AND FACIAL DYSMORPHISM SYNDROME"
6711,MACROCEPHALY/AUTISM SYNDROME
6712,"MACROCEPHALY/MEGALENCEPHALY SYNDROME, AUTOSOMAL RECESSIVE"
6713,"MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTIBILITY TO, 1"
6714,"MACROPHTHALMIA, COLOBOMATOUS, WITH MICROCORNEA"
6715,MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS
6716,"MACULAR DEGENERATION, AGE-RELATED, 12"
6717,"MACULAR DEGENERATION, AGE-RELATED, 13"
6718,"MACULAR DEGENERATION, AGE-RELATED, 14"
6719,"MACULAR DEGENERATION, AGE-RELATED, 15"
6720,"MACULAR DEGENERATION, AGE-RELATED, 3"
6721,"MACULAR DEGENERATION, AGE-RELATED, 4 (disorder)"
6722,"MACULAR DEGENERATION, AGE-RELATED, 5"
6723,"MACULAR DEGENERATION, AGE-RELATED, 8"
6724,"MACULAR DEGENERATION, EARLY-ONSET"
6725,"MACULAR DEGENERATION, X-LINKED ATROPHIC"
6726,MACULAR DYSTROPHY WITH CENTRAL CONE INVOLVEMENT
6727,"MACULAR DYSTROPHY, PATTERNED, 1"
6728,"MACULAR DYSTROPHY, PATTERNED, 3"
6729,"MACULAR DYSTROPHY, VITELLIFORM, 4"
6730,"MACULAR DYSTROPHY, VITELLIFORM, 5"
6731,MAJOR AFFECTIVE DISORDER 2
6732,MAJOR AFFECTIVE DISORDER 7
6733,"MALARIA, SUSCEPTIBILITY TO (finding)"
6734,"MALE PSEUDOHERMAPHRODITISM: DEFICIENCY OF TESTICULAR 17,20-DESMOLASE"
6735,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 5"
6736,MALT Lymphoma
6737,MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY
6738,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA
6739,"MAPLE SYRUP URINE DISEASE, MILD VARIANT"
6740,"MAPLE SYRUP URINE DISEASE, TYPE II"
6741,MARDEN-WALKER SYNDROME
6742,MARFAN LIPODYSTROPHY SYNDROME
6743,MARSILI SYNDROME
6744,MASA SYNDROME (disorder)
6745,MASP2 Deficiency
6746,MAST SYNDROME
6747,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 13"
6748,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14"
6749,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3 (disorder)"
6750,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6 (disorder)"
6751,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7 (disorder)"
6752,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8, WITH EXOCRINE DYSFUNCTION"
6753,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9 (disorder)"
6754,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE IV (disorder)"
6755,MEACHAM SYNDROME (disorder)
6756,MECKEL SYNDROME 12
6757,MECKEL SYNDROME 13
6758,"MECKEL SYNDROME, TYPE 10"
6759,"MECKEL SYNDROME, TYPE 11"
6760,"MECKEL SYNDROME, TYPE 2"
6761,"MECKEL SYNDROME, TYPE 4"
6762,"MECKEL SYNDROME, TYPE 5"
6763,"MECKEL SYNDROME, TYPE 6 (disorder)"
6764,"MECKEL SYNDROME, TYPE 8"
6765,"MECKEL SYNDROME, TYPE 9"
6766,MEESTER-LOEYS SYNDROME
6767,MEGA-CORPUS-CALLOSUM SYNDROME WITH CEREBELLAR HYPOPLASIA AND CORTICAL MALFORMATIONS
6768,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS
6769,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A
6770,"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"
6771,"MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME, SOMATIC"
6772,MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1
6773,MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 2
6774,MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 3
6775,MEIER-GORLIN SYNDROME 1
6776,MEIER-GORLIN SYNDROME 2
6777,MEIER-GORLIN SYNDROME 3
6778,MEIER-GORLIN SYNDROME 4
6779,MEIER-GORLIN SYNDROME 5
6780,MEIER-GORLIN SYNDROME 6
6781,MEIER-GORLIN SYNDROME 7
6782,MEIER-GORLIN SYNDROME 8
6783,"MELANOMA, CUTANEOUS MALIGNANT, 1"
6784,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 10"
6785,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2"
6786,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3"
6787,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 5"
6788,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 6"
6789,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 8"
6790,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 9"
6791,MELANOMA-PANCREATIC CANCER SYNDROME
6792,MELAS Syndrome
6793,"MELORHEOSTOSIS, ISOLATED"
6794,MEMORY QUANTITATIVE TRAIT LOCUS
6795,MEND SYNDROME
6796,"MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO"
6797,MENTAL RETARDATION AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS
6798,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES
6799,MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES
6800,"MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS"
6801,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 10"
6802,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 11"
6803,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 12"
6804,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 13"
6805,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 14"
6806,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 15"
6807,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 17"
6808,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 18"
6809,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 19"
6810,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 20"
6811,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 21"
6812,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 22"
6813,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 23"
6814,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 24"
6815,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 26"
6816,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 27"
6817,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 29"
6818,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 30"
6819,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 31"
6820,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 32"
6821,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 33"
6822,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 34"
6823,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 35"
6824,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 36"
6825,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 38"
6826,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 39"
6827,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 40"
6828,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 41"
6829,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 42"
6830,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 43"
6831,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 44"
6832,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 45"
6833,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 46"
6834,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 47"
6835,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48"
6836,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 49"
6837,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 50"
6838,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51"
6839,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 52"
6840,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 53"
6841,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54"
6842,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 55, WITH SEIZURES"
6843,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 56"
6844,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57"
6845,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58"
6846,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 6"
6847,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 7"
6848,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 9"
6849,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 1"
6850,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 12"
6851,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13"
6852,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 14"
6853,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15"
6854,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 17"
6855,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18"
6856,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27"
6857,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3"
6858,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 34, WITH VARIANT LISSENCEPHALY"
6859,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 36"
6860,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 37"
6861,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38"
6862,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 39"
6863,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 40"
6864,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 41"
6865,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 42"
6866,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 43"
6867,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 44"
6868,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 45"
6869,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 46"
6870,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 47"
6871,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 48"
6872,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 49"
6873,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5"
6874,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 50"
6875,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51"
6876,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 52"
6877,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 53"
6878,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 54"
6879,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 55"
6880,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 56"
6881,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 57"
6882,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58"
6883,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 59"
6884,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 6"
6885,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 60"
6886,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 63"
6887,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 64"
6888,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 65"
6889,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 66"
6890,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 7"
6891,"MENTAL RETARDATION, EPILEPTIC SEIZURES, HYPOGONADISM AND HYPOGENITALISM, MICROCEPHALY, AND OBESITY (disorder)"
6892,"MENTAL RETARDATION, X-LINKED 100"
6893,"MENTAL RETARDATION, X-LINKED 101"
6894,"MENTAL RETARDATION, X-LINKED 102"
6895,"MENTAL RETARDATION, X-LINKED 103"
6896,"MENTAL RETARDATION, X-LINKED 104"
6897,"MENTAL RETARDATION, X-LINKED 105"
6898,"MENTAL RETARDATION, X-LINKED 106"
6899,"MENTAL RETARDATION, X-LINKED 107"
6900,"MENTAL RETARDATION, X-LINKED 12"
6901,"MENTAL RETARDATION, X-LINKED 15"
6902,"MENTAL RETARDATION, X-LINKED 3"
6903,"MENTAL RETARDATION, X-LINKED 31"
6904,"MENTAL RETARDATION, X-LINKED 34 (disorder)"
6905,"MENTAL RETARDATION, X-LINKED 35"
6906,"MENTAL RETARDATION, X-LINKED 41"
6907,"MENTAL RETARDATION, X-LINKED 61"
6908,"MENTAL RETARDATION, X-LINKED 72"
6909,"MENTAL RETARDATION, X-LINKED 78"
6910,"MENTAL RETARDATION, X-LINKED 88 (disorder)"
6911,"MENTAL RETARDATION, X-LINKED 89"
6912,"MENTAL RETARDATION, X-LINKED 90 (disorder)"
6913,"MENTAL RETARDATION, X-LINKED 91 (disorder)"
6914,"MENTAL RETARDATION, X-LINKED 93 (disorder)"
6915,"MENTAL RETARDATION, X-LINKED 94 (disorder)"
6916,"MENTAL RETARDATION, X-LINKED 95"
6917,"MENTAL RETARDATION, X-LINKED 96"
6918,"MENTAL RETARDATION, X-LINKED 98"
6919,"MENTAL RETARDATION, X-LINKED 99"
6920,"MENTAL RETARDATION, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED"
6921,"MENTAL RETARDATION, X-LINKED, SNYDER-ROBINSON TYPE"
6922,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 11"
6923,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 32"
6924,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 33"
6925,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 34"
6926,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35"
6927,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, BAIN TYPE"
6928,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE"
6929,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, HOUGE TYPE"
6930,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE"
6931,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, RAYMOND TYPE"
6932,"MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED (disorder)"
6933,"MENTAL RETARDATION, X-LINKED, WITH SHORT STATURE (disorder)"
6934,"MENTAL RETARDATION, X-LINKED, WITH SHORT STATURE, HYPOGONADISM, AND ABNORMAL GAIT"
6935,MERRF Syndrome
6936,"METABOLIC ENCEPHALOMYOPATHIC CRISES, RECURRENT, WITH RHABDOMYOLYSIS, CARDIAC ARRHYTHMIAS, AND NEURODEGENERATION"
6937,METACARPAL 4-5 FUSION
6938,METAPHYSEAL DYSPLASIA WITH MAXILLARY HYPOPLASIA WITH OR WITHOUT BRACHYDACTYLY
6939,METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS
6940,METAPHYSEAL ENCHONDROMATOSIS WITH D-2-HYDROXYGLUTARIC ACIDURIA
6941,METHEMOGLOBINEMIA AND AMBIGUOUS GENITALIA
6942,METHEMOGLOBINEMIA TYPE IV
6943,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE, DIGENIC"
6944,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE (disorder)"
6945,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE"
6946,"METHYLMALONIC ACIDURIA, TRANSIENT, DUE TO TRANSCOBALAMIN RECEPTOR DEFECT"
6947,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I"
6948,"MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECESSIVE"
6949,"MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECESSIVE"
6950,"MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECESSIVE"
6951,"MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE"
6952,"MICROCEPHALY 14, PRIMARY, AUTOSOMAL RECESSIVE"
6953,"MICROCEPHALY 15, PRIMARY, AUTOSOMAL RECESSIVE"
6954,"MICROCEPHALY 16, PRIMARY, AUTOSOMAL RECESSIVE"
6955,"MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE"
6956,"MICROCEPHALY 18, PRIMARY, AUTOSOMAL DOMINANT"
6957,"MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE"
6958,"MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE"
6959,"MICROCEPHALY 21, PRIMARY, AUTOSOMAL RECESSIVE"
6960,"MICROCEPHALY 22, PRIMARY, AUTOSOMAL RECESSIVE"
6961,"MICROCEPHALY 23, PRIMARY, AUTOSOMAL RECESSIVE"
6962,"MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECESSIVE"
6963,"MICROCEPHALY 8, PRIMARY, AUTOSOMAL RECESSIVE"
6964,"MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECESSIVE"
6965,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1"
6966,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 2"
6967,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 3"
6968,"MICROCEPHALY, AMISH TYPE (disorder)"
6969,"MICROCEPHALY, CATARACTS, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSTONIA WITH ABNORMAL STRIATUM"
6970,"MICROCEPHALY, CONGENITAL CATARACT, AND PSORIASIFORM DERMATITIS"
6971,"MICROCEPHALY, EPILEPSY, AND DIABETES SYNDROME"
6972,"MICROCEPHALY, FACIAL DYSMORPHISM, RENAL AGENESIS, AND AMBIGUOUS GENITALIA SYNDROME"
6973,"MICROCEPHALY, GROWTH RESTRICTION, AND INCREASED SISTER CHROMATID EXCHANGE 2"
6974,"MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY"
6975,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 1"
6976,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 2 (disorder)"
6977,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 7 (disorder)"
6978,"MICROCEPHALY, PROGRESSIVE, WITH SEIZURES AND CEREBRAL AND CEREBELLAR ATROPHY"
6979,"MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY"
6980,"MICROCEPHALY, SEIZURES, SPASTICITY, AND BRAIN CALCIFICATIONS"
6981,"MICROCEPHALY, SHORT STATURE, AND IMPAIRED GLUCOSE METABOLISM 1"
6982,"MICROCEPHALY, SHORT STATURE, AND IMPAIRED GLUCOSE METABOLISM 2"
6983,"MICROCEPHALY, SHORT STATURE, AND LIMB ABNORMALITIES"
6984,"MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES"
6985,"MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH SEIZURES"
6986,"MICROCORNEA, MYOPIC CHORIORETINAL ATROPHY, AND TELECANTHUS"
6987,MICROHYDRANENCEPHALY
6988,"MICROPHTHALMIA, ISOLATED 1"
6989,"MICROPHTHALMIA, ISOLATED 2"
6990,"MICROPHTHALMIA, ISOLATED 4 (disorder)"
6991,"MICROPHTHALMIA, ISOLATED 6"
6992,"MICROPHTHALMIA, ISOLATED 7"
6993,"MICROPHTHALMIA, ISOLATED 8"
6994,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 10"
6995,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5 (disorder)"
6996,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 6"
6997,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7"
6998,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 9"
6999,"MICROPHTHALMIA, SYNDROMIC 11"
7000,"MICROPHTHALMIA, SYNDROMIC 12"
7001,"MICROPHTHALMIA, SYNDROMIC 13"
7002,"MICROPHTHALMIA, SYNDROMIC 6 (disorder)"
7003,"MICROPHTHALMIA, SYNDROMIC 7"
7004,"MICROPHTHALMIA, SYNDROMIC 8"
7005,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME
7006,"MICROSPHEROPHAKIA AND/OR MEGALOCORNEA, WITH ECTOPIA LENTIS AND WITH OR WITHOUT SECONDARY GLAUCOMA"
7007,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1(finding)"
7008,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2 (finding)"
7009,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3 (finding)"
7010,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 4 (finding)"
7011,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 5 (finding)"
7012,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 6 (finding)"
7013,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 7 (finding)"
7014,"MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS"
7015,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1"
7016,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 13"
